from,to,t,l,k,flow
source,m5_in,4,l1,k3,8.7898585
source,m7_in,1,l1,k4,8.7518553
m7_in,m4_in,1,l1,k4,8.7518553
source,m7_in,3,l1,k5,8.7429218
m7_in,m5_in,3,l1,k5,8.7429218
source,m9_in,1,l2,k2,8.7239648
m9_in,m9_q_l2,1,l2,k2,8.7239648
m9_q_l2,ss,1,l2,k2,8.7239648
source,m9_in,2,l2,k4,8.6929117
m9_in,m9_q_l2,2,l2,k4,8.6929117
m9_q_l2,ss,2,l2,k4,8.6929117
source,m7_in,4,l1,k4,8.6571913
source,m9_in,4,l2,k5,8.6418745
source,m8_in,3,l2,k2,8.6357632
m8_in,m8_q_l2,3,l2,k2,8.6357632
m8_q_l2,ss,3,l2,k2,8.6357632
source,m7_in,4,l1,k2,8.6227676
source,m1_in,3,l2,k2,8.6178866
source,m10_in,4,l2,k1,8.6042372
source,m3_in,1,l2,k2,8.5739757
m3_in,m3_q_l2,1,l2,k2,8.5739757
m3_q_l2,ss,1,l2,k2,8.5739757
source,m8_in,2,l1,k3,8.5595767
m8_in,m3_in,2,l1,k3,8.5595767
source,m3_in,2,l1,k3,8.5591487
source,m3_in,4,l1,k2,8.5426468
source,m9_in,2,l2,k1,8.4956623
m9_in,m9_q_l2,2,l2,k1,8.4956623
m9_q_l2,ss,2,l2,k1,8.4956623
source,m9_in,3,l1,k3,8.4879732
m9_in,m3_in,3,l1,k3,8.4879732
source,m10_in,4,l1,k2,8.4679472
source,m3_in,2,l2,k5,8.4345601
m3_in,m3_q_l2,2,l2,k5,8.4345601
m3_q_l2,ss,2,l2,k5,8.4345601
source,m1_in,2,l1,k1,8.4317802
source,m2_in,2,l1,k5,8.4276383
m2_in,m5_in,2,l1,k5,8.4276383
source,m7_in,1,l2,k3,8.4183061
m7_in,m7_q_l2,1,l2,k3,8.4183061
m7_q_l2,ss,1,l2,k3,8.4183061
source,m3_in,4,l1,k5,8.3867085
source,m5_in,1,l2,k2,8.3706638
m5_in,m5_q_l2,1,l2,k2,8.3706638
m5_q_l2,ss,1,l2,k2,8.3706638
source,m9_in,3,l2,k2,8.3633953
m9_in,m9_q_l2,3,l2,k2,8.3633953
m9_q_l2,ss,3,l2,k2,8.3633953
source,m9_in,2,l1,k5,8.3554387
source,m10_in,1,l2,k3,8.3483641
m10_in,m10_q_l2,1,l2,k3,8.3483641
m10_q_l2,ss,1,l2,k3,8.3483641
source,m10_in,3,l1,k1,8.3258027
m10_in,m1_in,3,l1,k1,8.3258027
m9_in,m1_in,2,l1,k1,8.2763315
source,m9_in,3,l2,k3,8.2709989
m9_in,m9_q_l2,3,l2,k3,8.2709989
m9_q_l2,ss,3,l2,k3,8.2709989
source,m1_in,3,l2,k1,8.2295891
m1_in,m3_in,3,l2,k1,8.2295891
source,m3_in,3,l1,k5,8.2198061
m3_in,m5_in,3,l1,k5,8.2198061
source,m6_in,2,l2,k3,8.213189
m6_in,m6_q_l2,2,l2,k3,8.213189
m6_q_l2,ss,2,l2,k3,8.213189
source,m3_in,1,l1,k1,8.1876643
m3_in,m1_in,1,l1,k1,8.1876643
source,m2_in,1,l1,k3,8.1728548
m2_in,m3_in,1,l1,k3,8.1728548
